Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-02,10:00:00,0.914,0.115,240.64,3.8,0.279,0.17,0.048
2007-01-02,11:00:00,0.82,0.082,242.75,3.38,0.29,0.128,0.123
2007-01-02,12:00:00,0.907,0.109,238.26,3.81,0.336,0.163,0.057
2007-01-02,13:00:00,0.876,0.104,237.22,3.69,0.399,0.166,0.111
2007-01-02,14:00:00,0.855,0.117,241.66,3.54,0.361,0.092,0.094
2007-01-02,15:00:00,0.781,0.094,242.66,3.22,0.301,0.124,0.074
2007-01-02,16:00:00,0.927,0.097,239.02,3.88,0.449,0.17,0.05
2007-01-02,17:00:00,1.255,0.1,242.08,5.18,0.512,0.206,0.104
2007-01-02,18:00:00,1.454,0.184,241.54,6.02,0.647,0.231,0.204
2007-01-02,19:00:00,2.194,0.241,236.58,9.27,0.946,0.392,0.308
2007-01-02,20:00:00,1.775,0.186,238.73,7.44,0.837,0.303,0.195
2007-01-02,21:00:00,1.594,0.164,239.05,6.67,0.737,0.239,0.171
2007-01-02,22:00:00,1.068,0.071,243.98,4.38,0.532,0.111,0.099
2007-01-02,23:00:00,0.725,0.081,241.02,3.01,0.273,0.117,0.092
2007-01-03,00:00:00,0.415,0.031,238.99,1.74,0.138,0.05,0.057
2007-01-03,01:00:00,0.447,0.012,238.61,1.87,0.202,0.056,0.055
2007-01-03,02:00:00,0.286,0.019,236.86,1.21,0.136,0.048,0.029
2007-01-03,03:00:00,0.705,0.075,242.13,2.91,0.219,0.102,0.08
2007-01-03,04:00:00,0.322,0.04,240.79,1.34,0.118,0.055,0.023
2007-01-03,05:00:00,0.375,0.014,241.24,1.55,0.173,0.052,0.056
2007-01-03,06:00:00,0.436,0.016,237.43,1.84,0.19,0.081,0.063
2007-01-03,07:00:00,0.725,0.066,241.47,3.0,0.327,0.103,0.106
2007-01-03,08:00:00,1.259,0.137,239.52,5.26,0.515,0.188,0.084
2007-01-03,09:00:00,1.084,0.092,238.55,4.54,0.408,0.122,0.125
2007-01-03,10:00:00,0.944,0.085,241.03,3.91,0.436,0.142,0.109
2007-01-03,11:00:00,0.928,0.097,237.6,3.91,0.381,0.115,0.079
2007-01-03,12:00:00,0.991,0.083,240.36,4.12,0.399,0.175,0.135
2007-01-03,13:00:00,0.897,0.05,239.47,3.75,0.401,0.154,0.115
2007-01-03,14:00:00,0.849,0.091,242.15,3.51,0.287,0.086,0.104
2007-01-03,15:00:00,0.845,0.05,241.78,3.49,0.353,0.126,0.045
2007-01-03,16:00:00,1.039,0.111,240.18,4.33,0.375,0.109,0.155
2007-01-03,17:00:00,1.173,0.113,240.56,4.88,0.357,0.184,0.143
2007-01-03,18:00:00,1.594,0.155,241.2,6.61,0.717,0.303,0.234
2007-01-03,19:00:00,1.833,0.161,239.98,7.64,0.724,0.342,0.108
2007-01-03,20:00:00,1.681,0.161,238.36,7.05,0.808,0.209,0.201
2007-01-03,21:00:00,1.473,0.13,239.03,6.16,0.589,0.168,0.183
2007-01-03,22:00:00,1.093,0.166,237.56,4.6,0.33,0.196,0.062
2007-01-03,23:00:00,0.632,0.047,241.85,2.61,0.241,0.098,0.036
2007-01-04,00:00:00,0.494,0.07,240.8,2.05,0.165,0.07,0.062
2007-01-04,01:00:00,0.381,0.027,239.15,1.59,0.184,0.069,0.049
2007-01-04,02:00:00,0.222,0.027,238.55,0.93,0.087,0.028,0.031
2007-01-04,03:00:00,0.303,0.03,240.47,1.26,0.122,0.037,0.039
2007-01-04,04:00:00,0.385,0.035,237.17,1.62,0.144,0.062,0.029
2007-01-04,05:00:00,0.363,0.032,237.86,1.53,0.147,0.046,0.053
2007-01-04,06:00:00,0.455,0.05,239.96,1.9,0.144,0.065,0.035
2007-01-04,07:00:00,0.787,0.106,244.88,3.21,0.308,0.114,0.097
2007-01-04,08:00:00,1.2,0.097,240.9,4.98,0.519,0.145,0.124
2007-01-04,09:00:00,1.008,0.065,240.37,4.19,0.377,0.107,0.063
2007-01-04,10:00:00,1.035,0.087,237.66,4.36,0.392,0.183,0.148
2007-01-04,11:00:00,0.942,0.097,238.13,3.96,0.44,0.168,0.102
2007-01-04,12:00:00,1.017,0.096,242.71,4.19,0.414,0.162,0.06
2007-01-04,13:00:00,0.797,0.111,239.08,3.33,0.333,0.092,0.07
2007-01-04,14:00:00,0.831,0.111,240.14,3.46,0.299,0.123,0.105
2007-01-04,15:00:00,1.353,0.126,241.18,5.61,0.537,0.159,0.151
2007-01-04,16:00:00,0.962,0.127,239.16,4.02,0.299,0.181,0.07
2007-01-04,17:00:00,1.275,0.136,238.98,5.34,0.492,0.216,0.136
2007-01-04,18:00:00,1.539,0.139,236.55,6.51,0.709,0.159,0.124
2007-01-04,19:00:00,1.851,0.183,237.57,7.79,0.615,0.185,0.19
2007-01-04,20:00:00,1.723,0.168,241.17,7.14,0.78,0.342,0.141
2007-01-04,21:00:00,1.471,0.132,239.12,6.15,0.551,0.153,0.147
2007-01-04,22:00:00,1.019,0.089,241.34,4.22,0.311,0.19,0.137
2007-01-04,23:00:00,0.79,0.088,236.83,3.34,0.388,0.155,0.056
2007-01-05,00:00:00,0.441,0.036,241.62,1.83,0.148,0.058,0.022
2007-01-05,01:00:00,0.421,0.036,239.92,1.75,0.154,0.065,0.028
2007-01-05,02:00:00,0.358,0.032,237.06,1.51,0.142,0.059,0.048
2007-01-05,03:00:00,0.255,0.022,242.26,1.05,0.125,0.039,0.023
2007-01-05,04:00:00,0.212,0.04,237.19,0.89,0.088,0.026,0.026
2007-01-05,05:00:00,0.364,0.02,242.15,1.5,0.175,0.058,0.019
2007-01-05,06:00:00,0.572,0.062,239.94,2.39,0.236,0.072,0.037
2007-01-05,07:00:00,0.713,0.041,238.21,2.99,0.243,0.083,0.076
2007-01-05,08:00:00,1.339,0.123,243.7,5.49,0.553,0.202,0.163
2007-01-05,09:00:00,1.143,0.088,240.81,4.74,0.366,0.157,0.147
2007-01-05,10:00:00,0.974,0.13,242.43,4.02,0.315,0.1,0.111
2007-01-05,11:00:00,0.892,0.092,240.87,3.7,0.288,0.174,0.112
2007-01-05,12:00:00,1.016,0.093,239.57,4.24,0.307,0.106,0.068
2007-01-05,13:00:00,0.826,0.048,238.26,3.47,0.273,0.157,0.096
2007-01-05,14:00:00,0.862,0.059,239.64,3.6,0.319,0.103,0.08
2007-01-05,15:00:00,0.919,0.109,240.33,3.82,0.289,0.105,0.13
2007-01-05,16:00:00,1.139,0.121,241.63,4.71,0.343,0.122,0.127
2007-01-05,17:00:00,1.27,0.098,239.21,5.31,0.409,0.181,0.132
2007-01-05,18:00:00,1.62,0.133,241.03,6.72,0.789,0.257,0.175
2007-01-05,19:00:00,1.809,0.218,243.36,7.43,0.733,0.344,0.241
2007-01-05,20:00:00,2.117,0.239,240.32,8.81,0.819,0.378,0.108
2007-01-05,21:00:00,1.577,0.164,236.08,6.68,0.627,0.183,0.215
2007-01-05,22:00:00,1.041,0.106,240.1,4.33,0.428,0.122,0.055
2007-01-05,23:00:00,0.618,0.058,239.81,2.58,0.199,0.062,0.067
2007-01-06,00:00:00,0.523,0.027,239.75,2.18,0.218,0.088,0.052
2007-01-06,01:00:00,0.391,0.056,236.81,1.65,0.182,0.04,0.034
2007-01-06,02:00:00,0.405,0.037,240.55,1.68,0.167,0.046,0.025
2007-01-06,03:00:00,0.399,0.054,238.94,1.67,0.19,0.065,0.025
2007-01-06,04:00:00,0.37,0.029,239.79,1.54,0.121,0.043,0.046
2007-01-06,05:00:00,0.438,0.051,241.9,1.81,0.204,0.05,0.027
2007-01-06,06:00:00,0.463,0.037,238.38,1.94,0.2,0.057,0.055
2007-01-06,07:00:00,0.994,0.101,239.8,4.15,0.418,0.138,0.148
2007-01-06,08:00:00,1.421,0.158,239.6,5.93,0.594,0.143,0.168
2007-01-06,09:00:00,1.373,0.127,239.67,5.73,0.445,0.24,0.079
2007-01-06,10:00:00,1.18,0.158,239.11,4.93,0.505,0.209,0.123
2007-01-06,11:00:00,0.948,0.083,239.22,3.96,0.36,0.13,0.127
2007-01-06,12:00:00,1.176,0.12,243.35,4.83,0.368,0.211,0.171
2007-01-06,13:00:00,0.96,0.124,239.15,4.02,0.328,0.123,0.118
2007-01-06,14:00:00,1.014,0.13,240.54,4.22,0.394,0.201,0.082
2007-01-06,15:00:00,1.126,0.122,240.21,4.69,0.562,0.157,0.085
2007-01-06,16:00:00,1.301,0.136,240.15,5.42,0.502,0.217,0.167
2007-01-06,17:00:00,1.465,0.148,240.96,6.08,0.483,0.194,0.185
2007-01-06,18:00:00,1.905,0.218,238.73,7.98,0.915,0.276,0.188
2007-01-06,19:00:00,2.148,0.234,242.8,8.85,0.66,0.353,0.126
2007-01-06,20:00:00,2.042,0.226,238.16,8.57,0.664,0.275,0.239
2007-01-06,21:00:00,1.615,0.194,239.67,6.74,0.637,0.267,0.176
2007-01-06,22:00:00,1.276,0.137,237.63,5.37,0.407,0.146,0.065
2007-01-06,23:00:00,0.853,0.077,241.79,3.53,0.353,0.127,0.097
2007-01-07,00:00:00,0.52,0.059,238.16,2.19,0.173,0.066,0.033
2007-01-07,01:00:00,0.395,0.041,241.51,1.63,0.17,0.076,0.052
2007-01-07,02:00:00,0.39,0.035,240.53,1.62,0.126,0.071,0.046
2007-01-07,03:00:00,0.427,0.035,240.35,1.77,0.197,0.063,0.024
2007-01-07,04:00:00,0.397,0.051,242.23,1.64,0.177,0.058,0.041
2007-01-07,05:00:00,0.876,0.1,238.79,3.67,0.425,0.161,0.114
2007-01-07,06:00:00,0.583,0.044,242.93,2.4,0.183,0.099,0.078
2007-01-07,07:00:00,0.998,0.106,239.23,4.17,0.41,0.168,0.058
2007-01-07,08:00:00,1.295,0.162,240.86,5.38,0.572,0.201,0.075
2007-01-07,09:00:00,1.27,0.112,239.61,5.3,0.61,0.236,0.162
2007-01-07,10:00:00,1.101,0.137,241.23,4.56,0.436,0.131,0.081
2007-01-07,11:00:00,1.051,0.088,237.99,4.42,0.515,0.196,0.115
2007-01-07,12:00:00,1.054,0.113,240.21,4.39,0.342,0.16,0.117
2007-01-07,13:00:00,1.072,0.072,240.04,4.47,0.415,0.174,0.121
2007-01-07,14:00:00,1.091,0.122,240.87,4.53,0.383,0.214,0.091
2007-01-07,15:00:00,1.056,0.101,240.81,4.39,0.35,0.15,0.057
2007-01-07,16:00:00,1.204,0.086,238.28,5.05,0.43,0.201,0.125
2007-01-07,17:00:00,1.651,0.156,242.61,6.81,0.715,0.251,0.168
2007-01-07,18:00:00,1.818,0.217,239.88,7.58,0.721,0.351,0.17
2007-01-07,19:00:00,2.129,0.224,241.46,8.82,0.716,0.317,0.166
2007-01-07,20:00:00,2.12,0.214,237.48,8.93,0.65,0.266,0.285
2007-01-07,21:00:00,1.704,0.181,239.17,7.12,0.826,0.253,0.148
2007-01-07,22:00:00,1.33,0.153,242.16,5.49,0.483,0.255,0.083
2007-01-07,23:00:00,0.841,0.115,243.27,3.46,0.274,0.126,0.106
2007-01-08,00:00:00,0.41,0.035,240.85,1.7,0.135,0.047,0.047
2007-01-08,01:00:00,0.4,0.052,239.82,1.67,0.14,0.062,0.032
2007-01-08,02:00:00,0.369,0.046,237.88,1.55,0.128,0.051,0.024
2007-01-08,03:00:00,0.307,0.033,241.59,1.27,0.109,0.051,0.029
2007-01-08,04:00:00,0.25,0.021,240.61,1.04,0.086,0.031,0.014
2007-01-08,05:00:00,0.387,0.071,235.29,1.64,0.149,0.051,0.028
2007-01-08,06:00:00,0.452,0.05,236.53,1.91,0.205,0.069,0.066
2007-01-08,07:00:00,0.9,0.066,240.7,3.74,0.275,0.101,0.059
2007-01-08,08:00:00,1.291,0.071,238.34,5.42,0.436,0.156,0.1
2007-01-08,09:00:00,1.052,0.124,237.92,4.42,0.465,0.19,0.067
2007-01-08,10:00:00,1.004,0.092,239.79,4.19,0.331,0.195,0.142
2007-01-08,11:00:00,0.854,0.082,240.69,3.55,0.383,0.168,0.122
2007-01-08,12:00:00,0.978,0.106,242.86,4.03,0.394,0.19,0.055
2007-01-08,13:00:00,0.895,0.139,238.37,3.76,0.426,0.174,0.125
2007-01-08,14:00:00,0.9,0.117,240.87,3.74,0.272,0.164,0.058
2007-01-08,15:00:00,0.839,0.079,237.95,3.53,0.383,0.146,0.075
2007-01-08,16:00:00,1.126,0.127,239.01,4.71,0.467,0.139,0.122
2007-01-08,17:00:00,1.401,0.128,240.38,5.83,0.552,0.202,0.135
2007-01-08,18:00:00,1.644,0.18,239.7,6.86,0.541,0.23,0.105
2007-01-08,19:00:00,1.768,0.16,237.27,7.45,0.613,0.306,0.228
2007-01-08,20:00:00,1.658,0.169,241.03,6.88,0.758,0.245,0.197
2007-01-08,21:00:00,1.59,0.163,241.48,6.59,0.524,0.216,0.229
2007-01-08,22:00:00,1.254,0.104,244.72,5.12,0.508,0.227,0.107
2007-01-08,23:00:00,0.748,0.063,240.44,3.11,0.256,0.131,0.07
2007-01-09,00:00:00,0.416,-0.002,240.35,1.73,0.166,0.057,0.035
2007-01-09,01:00:00,0.356,0.028,240.61,1.48,0.125,0.05,0.02
2007-01-09,02:00:00,0.454,0.068,237.27,1.91,0.168,0.086,0.025
2007-01-09,03:00:00,0.368,0.077,237.41,1.55,0.169,0.064,0.046
2007-01-09,04:00:00,0.3,0.06,239.83,1.25,0.092,0.051,0.024
2007-01-09,05:00:00,0.561,0.048,235.41,2.39,0.272,0.096,0.055
2007-01-09,06:00:00,0.617,0.062,237.74,2.59,0.224,0.068,0.091
2007-01-09,07:00:00,0.912,0.09,239.0,3.82,0.383,0.143,0.047
2007-01-09,08:00:00,1.237,0.119,242.02,5.11,0.426,0.16,0.126
2007-01-09,09:00:00,1.215,0.141,240.52,5.05,0.452,0.132,0.124
2007-01-09,10:00:00,1.064,0.095,236.96,4.49,0.417,0.184,0.159
2007-01-09,11:00:00,0.94,0.123,239.92,3.92,0.412,0.123,0.125
2007-01-09,12:00:00,1.077,0.111,241.17,4.47,0.511,0.141,0.061
2007-01-09,13:00:00,1.01,0.078,241.43,4.18,0.478,0.166,0.066
2007-01-09,14:00:00,0.899,0.088,242.09,3.72,0.33,0.15,0.048
2007-01-09,15:00:00,0.88,0.098,242.4,3.63,0.28,0.13,0.061
2007-01-09,16:00:00,1.018,0.121,241.14,4.22,0.494,0.158,0.072
2007-01-09,17:00:00,1.244,0.14,240.97,5.16,0.381,0.23,0.073
2007-01-09,18:00:00,1.744,0.168,240.47,7.25,0.831,0.193,0.179
2007-01-09,19:00:00,1.773,0.167,241.68,7.34,0.541,0.189,0.261
2007-01-09,20:00:00,1.798,0.214,238.42,7.54,0.891,0.298,0.234
2007-01-09,21:00:00,1.441,0.145,239.59,6.01,0.436,0.231,0.101
2007-01-09,22:00:00,1.248,0.102,238.6,5.23,0.379,0.148,0.16
2007-01-09,23:00:00,0.688,0.057,240.87,2.86,0.276,0.105,0.102
2007-01-10,00:00:00,0.917,0.052,239.48,3.83,0.398,0.16,0.122
2007-01-10,01:00:00,0.339,0.001,242.03,1.4,0.126,0.059,0.033
2007-01-10,02:00:00,0.447,0.034,240.1,1.86,0.188,0.071,0.034
2007-01-10,03:00:00,0.435,0.028,242.13,1.79,0.204,0.049,0.054
2007-01-10,04:00:00,0.371,0.023,235.78,1.57,0.17,0.048,0.048
2007-01-10,05:00:00,0.432,0.059,238.56,1.81,0.206,0.061,0.034
2007-01-10,06:00:00,0.615,0.079,241.88,2.54,0.204,0.11,0.045
2007-01-10,07:00:00,0.855,0.062,240.04,3.56,0.295,0.132,0.1
2007-01-10,08:00:00,1.347,0.173,242.11,5.56,0.563,0.234,0.187
2007-01-10,09:00:00,1.17,0.119,240.5,4.87,0.52,0.225,0.061
2007-01-10,10:00:00,0.929,0.093,238.13,3.9,0.299,0.151,0.138
2007-01-10,11:00:00,1.069,0.091,243.59,4.39,0.358,0.132,0.074
2007-01-10,12:00:00,1.035,0.097,238.67,4.34,0.502,0.118,0.088
2007-01-10,13:00:00,0.939,0.134,238.51,3.94,0.287,0.094,0.052
2007-01-10,14:00:00,0.905,0.069,241.64,3.74,0.344,0.106,0.05
2007-01-10,15:00:00,0.917,0.097,238.18,3.85,0.314,0.116,0.071
2007-01-10,16:00:00,1.082,0.097,237.41,4.56,0.492,0.137,0.115
2007-01-10,17:00:00,1.399,0.104,238.46,5.87,0.661,0.233,0.196
2007-01-10,18:00:00,1.718,0.141,241.64,7.11,0.6,0.198,0.098
2007-01-10,19:00:00,1.91,0.203,244.28,7.82,0.798,0.274,0.2
2007-01-10,20:00:00,1.772,0.143,240.01,7.38,0.83,0.178,0.162
2007-01-10,21:00:00,1.497,0.125,238.55,6.27,0.628,0.189,0.223
2007-01-10,22:00:00,1.182,0.135,242.47,4.88,0.497,0.123,0.081
2007-01-10,23:00:00,0.816,0.096,238.77,3.42,0.312,0.139,0.071
2007-01-11,00:00:00,0.466,0.048,239.11,1.95,0.201,0.063,0.025
2007-01-11,01:00:00,0.432,0.02,240.83,1.79,0.212,0.064,0.061
2007-01-11,02:00:00,0.431,0.019,242.28,1.78,0.155,0.076,0.048
2007-01-11,03:00:00,0.376,0.011,240.14,1.56,0.128,0.07,0.041
2007-01-11,04:00:00,0.451,0.042,239.29,1.89,0.222,0.068,0.025
2007-01-11,05:00:00,0.369,0.05,244.64,1.51,0.115,0.061,0.022
2007-01-11,06:00:00,0.491,0.041,238.66,2.06,0.23,0.085,0.063
2007-01-11,07:00:00,0.969,0.115,238.88,4.06,0.467,0.125,0.102
2007-01-11,08:00:00,1.331,0.165,239.22,5.56,0.458,0.227,0.093
2007-01-11,09:00:00,1.17,0.125,241.1,4.85,0.451,0.193,0.123
2007-01-11,10:00:00,1.015,0.076,239.07,4.25,0.329,0.146,0.149
2007-01-11,11:00:00,0.999,0.102,241.63,4.13,0.373,0.134,0.06
2007-01-11,12:00:00,1.047,0.132,239.9,4.37,0.41,0.207,0.154
2007-01-11,13:00:00,0.989,0.086,239.36,4.13,0.398,0.197,0.126
2007-01-11,14:00:00,0.903,0.077,238.88,3.78,0.293,0.153,0.058
2007-01-11,15:00:00,1.005,0.123,239.95,4.19,0.382,0.139,0.132
2007-01-11,16:00:00,1.158,0.087,240.89,4.81,0.492,0.203,0.144
2007-01-11,17:00:00,1.418,0.146,239.93,5.91,0.567,0.238,0.152
2007-01-11,18:00:00,1.716,0.159,240.47,7.14,0.804,0.265,0.219
2007-01-11,19:00:00,1.884,0.18,238.45,7.9,0.924,0.213,0.121
2007-01-11,20:00:00,1.847,0.219,238.57,7.74,0.856,0.359,0.226
2007-01-11,21:00:00,1.632,0.154,239.99,6.8,0.505,0.201,0.186
2007-01-11,22:00:00,1.162,0.119,240.24,4.84,0.398,0.162,0.091
2007-01-11,23:00:00,0.765,0.097,240.1,3.19,0.243,0.103,0.091
2007-01-12,00:00:00,0.552,0.03,238.82,2.31,0.213,0.064,0.065
2007-01-12,01:00:00,0.502,0.067,240.15,2.09,0.223,0.051,0.037
2007-01-12,02:00:00,0.413,0.032,240.05,1.72,0.127,0.08,0.027
2007-01-12,03:00:00,0.421,0.016,239.76,1.75,0.149,0.073,0.036
2007-01-12,04:00:00,0.344,0.025,238.7,1.44,0.11,0.035,0.031
2007-01-12,05:00:00,0.459,0.047,241.04,1.9,0.175,0.077,0.061
2007-01-12,06:00:00,0.683,0.073,239.98,2.85,0.331,0.077,0.064
2007-01-12,07:00:00,0.952,0.08,238.5,3.99,0.364,0.164,0.118
2007-01-12,08:00:00,1.267,0.122,239.75,5.29,0.541,0.191,0.122
2007-01-12,09:00:00,1.146,0.087,238.83,4.8,0.432,0.227,0.065
2007-01-12,10:00:00,0.972,0.083,240.01,4.05,0.434,0.139,0.112
2007-01-12,11:00:00,1.08,0.081,242.86,4.45,0.484,0.189,0.151
2007-01-12,12:00:00,0.988,0.097,240.3,4.11,0.324,0.103,0.101
2007-01-12,13:00:00,0.832,0.066,240.4,3.46,0.358,0.161,0.1
2007-01-12,14:00:00,0.835,0.125,242.85,3.44,0.315,0.13,0.107
2007-01-12,15:00:00,0.988,0.106,240.54,4.11,0.466,0.13,0.096
2007-01-12,16:00:00,1.072,0.075,240.87,4.45,0.355,0.121,0.08
2007-01-12,17:00:00,1.383,0.123,240.29,5.76,0.663,0.227,0.188
2007-01-12,18:00:00,1.721,0.186,239.23,7.2,0.693,0.301,0.229
2007-01-12,19:00:00,1.859,0.191,240.9,7.72,0.653,0.202,0.253
2007-01-12,20:00:00,1.777,0.146,243.4,7.3,0.652,0.207,0.236
2007-01-12,21:00:00,1.627,0.147,237.36,6.86,0.49,0.225,0.103
2007-01-12,22:00:00,1.201,0.133,239.09,5.02,0.588,0.222,0.11
2007-01-12,23:00:00,0.633,0.071,238.29,2.66,0.218,0.126,0.044
2007-01-13,00:00:00,0.5,0.062,238.52,2.1,0.241,0.087,0.033
2007-01-13,01:00:00,0.411,0.035,242.45,1.69,0.193,0.041,0.053
2007-01-13,02:00:00,0.464,0.029,239.68,1.94,0.172,0.088,0.046
2007-01-13,03:00:00,0.457,0.02,241.45,1.89,0.156,0.047,0.027
2007-01-13,04:00:00,0.435,0.062,238.67,1.82,0.168,0.082,0.039
2007-01-13,05:00:00,0.483,0.087,238.71,2.02,0.235,0.068,0.072
2007-01-13,06:00:00,0.732,0.079,237.96,3.07,0.345,0.127,0.052
2007-01-13,07:00:00,1.064,0.125,242.89,4.38,0.423,0.116,0.095
2007-01-13,08:00:00,1.439,0.128,241.55,5.96,0.589,0.168,0.157
2007-01-13,09:00:00,1.294,0.129,237.9,5.44,0.494,0.188,0.091
2007-01-13,10:00:00,1.15,0.114,242.28,4.75,0.562,0.119,0.169
2007-01-13,11:00:00,1.1,0.118,239.48,4.59,0.548,0.153,0.125
2007-01-13,12:00:00,1.199,0.121,240.91,4.98,0.429,0.21,0.087
2007-01-13,13:00:00,1.147,0.17,240.09,4.78,0.562,0.19,0.109
2007-01-13,14:00:00,0.999,0.116,237.13,4.21,0.489,0.135,0.086
2007-01-13,15:00:00,1.042,0.13,238.34,4.37,0.411,0.105,0.065
2007-01-13,16:00:00,1.297,0.135,242.71,5.34,0.497,0.165,0.102
2007-01-13,17:00:00,1.622,0.12,241.88,6.71,0.769,0.288,0.171
2007-01-13,18:00:00,2.05,0.214,237.96,8.61,1.001,0.275,0.121
2007-01-13,19:00:00,2.196,0.242,240.42,9.13,0.836,0.303,0.12
2007-01-13,20:00:00,2.054,0.233,239.57,8.57,0.818,0.221,0.214
2007-01-13,21:00:00,1.836,0.182,242.28,7.58,0.673,0.294,0.171
2007-01-13,22:00:00,1.342,0.105,239.59,5.6,0.459,0.218,0.092
2007-01-13,23:00:00,0.822,0.076,238.46,3.45,0.411,0.118,0.1
2007-01-14,00:00:00,0.602,0.031,241.47,2.49,0.203,0.106,0.035
2007-01-14,01:00:00,0.547,0.08,242.38,2.26,0.253,0.103,0.042
2007-01-14,02:00:00,0.572,0.066,240.79,2.38,0.22,0.1,0.034
2007-01-14,03:00:00,0.461,0.036,241.14,1.91,0.146,0.071,0.057
2007-01-14,04:00:00,0.408,0.056,237.61,1.72,0.149,0.079,0.046
2007-01-14,05:00:00,0.419,0.071,237.44,1.76,0.133,0.058,0.029
2007-01-14,06:00:00,0.609,0.077,237.3,2.56,0.302,0.101,0.064
2007-01-14,07:00:00,0.998,0.14,242.1,4.12,0.352,0.157,0.119
2007-01-14,08:00:00,1.605,0.143,239.23,6.71,0.721,0.296,0.086
2007-01-14,09:00:00,1.745,0.194,241.65,7.22,0.672,0.262,0.203
2007-01-14,10:00:00,1.202,0.091,238.8,5.03,0.524,0.187,0.098
2007-01-14,11:00:00,1.199,0.158,239.97,5.0,0.421,0.174,0.076
2007-01-14,12:00:00,1.245,0.139,238.39,5.22,0.397,0.142,0.164
2007-01-14,13:00:00,1.119,0.104,239.34,4.67,0.516,0.211,0.124
2007-01-14,14:00:00,1.129,0.09,236.58,4.77,0.5,0.21,0.118
2007-01-14,15:00:00,1.094,0.099,239.36,4.57,0.352,0.186,0.146
2007-01-14,16:00:00,1.302,0.125,239.19,5.44,0.581,0.176,0.1
2007-01-14,17:00:00,1.509,0.155,236.61,6.38,0.633,0.205,0.078
2007-01-14,18:00:00,1.975,0.197,240.85,8.2,0.66,0.205,0.286
2007-01-14,19:00:00,2.245,0.212,241.15,9.31,1.044,0.242,0.171
2007-01-14,20:00:00,2.162,0.239,238.68,9.06,0.951,0.327,0.245
2007-01-14,21:00:00,1.865,0.153,237.59,7.85,0.749,0.196,0.275
2007-01-14,22:00:00,1.536,0.165,243.46,6.31,0.516,0.169,0.113
2007-01-14,23:00:00,0.899,0.094,240.51,3.74,0.367,0.112,0.134
2007-01-15,00:00:00,0.504,0.05,235.24,2.14,0.168,0.069,0.052
2007-01-15,01:00:00,0.521,0.065,239.14,2.18,0.175,0.078,0.076
