age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
49,management,married,secondary,no,1243,no,no,telephone,26,jun,93,2,-1,0,unknown,0
55,housemaid,single,secondary,no,1523,yes,no,cellular,4,apr,57,4,-1,0,unknown,0
40,unemployed,married,secondary,no,528,yes,yes,cellular,16,sep,168,1,-1,0,unknown,0
52,management,married,secondary,no,2849,yes,no,unknown,30,jan,43,1,-1,0,unknown,0
44,technician,married,secondary,no,65,yes,no,cellular,6,may,81,1,-1,0,unknown,0
33,management,divorced,tertiary,no,3029,no,no,cellular,20,nov,1113,1,-1,0,failure,0
44,technician,married,tertiary,no,428,yes,no,cellular,27,jan,210,4,504,0,unknown,1
57,admin.,married,tertiary,no,0,yes,no,telephone,29,nov,395,1,-1,1,unknown,1
40,technician,married,secondary,no,1174,no,no,telephone,3,oct,61,3,206,0,unknown,1
58,management,married,unknown,no,507,no,no,unknown,31,nov,189,1,-1,0,unknown,0
18,technician,married,tertiary,no,2335,yes,no,unknown,28,jan,184,2,-1,0,success,0
50,housemaid,married,secondary,no,645,no,no,telephone,11,jun,432,2,603,1,unknown,0
41,unknown,single,primary,no,1456,no,no,unknown,24,jun,5,2,-1,0,unknown,0
37,blue-collar,single,tertiary,no,352,yes,no,cellular,29,nov,508,2,-1,1,unknown,0
42,management,married,tertiary,no,152,yes,no,cellular,5,jul,21,8,-1,0,unknown,0
19,housemaid,married,secondary,no,536,yes,no,unknown,1,oct,640,1,-1,0,unknown,0
38,admin.,single,secondary,no,1200,yes,no,unknown,8,sep,39,2,-1,0,unknown,0
44,technician,married,primary,no,1404,yes,no,cellular,19,jun,196,1,-1,1,unknown,0
57,management,single,secondary,no,1094,no,no,cellular,4,feb,27,15,-1,0,unknown,0
35,management,married,tertiary,no,6441,no,no,unknown,9,apr,152,6,-1,0,failure,0
32,management,married,tertiary,no,1562,yes,no,cellular,3,sep,91,1,-1,0,unknown,0
35,blue-collar,married,primary,no,3821,yes,no,cellular,30,feb,140,8,-1,0,failure,0
51,self-employed,single,secondary,yes,-11,yes,yes,cellular,5,jul,203,3,-1,0,unknown,0
44,blue-collar,married,tertiary,no,-104,no,no,cellular,28,apr,158,10,-1,1,unknown,0
35,services,married,secondary,no,358,no,no,cellular,16,oct,6,3,-1,2,success,0
46,blue-collar,married,tertiary,no,20,yes,no,unknown,8,nov,513,1,-1,0,unknown,0
42,retired,single,tertiary,no,919,no,no,cellular,6,jun,25,3,-1,0,unknown,0
51,admin.,divorced,secondary,no,897,yes,yes,unknown,3,jan,1017,3,-1,1,unknown,0
33,management,married,tertiary,no,1083,no,no,unknown,16,nov,491,1,-1,0,unknown,0
37,technician,married,secondary,no,1851,yes,no,unknown,8,aug,212,3,-1,0,unknown,0
36,unknown,divorced,secondary,no,5127,yes,no,unknown,13,jun,72,3,-1,0,unknown,0
24,management,married,secondary,no,2958,yes,no,cellular,5,nov,23,11,-1,0,unknown,0
44,technician,married,secondary,no,-11,no,no,cellular,6,jul,287,2,-1,1,unknown,0
43,blue-collar,married,secondary,no,419,no,no,unknown,27,jun,58,2,-1,0,unknown,0
41,student,single,secondary,no,243,no,no,cellular,3,jul,340,7,-1,0,unknown,0
38,blue-collar,married,tertiary,no,91,yes,no,cellular,8,may,460,2,-1,0,unknown,0
25,admin.,single,tertiary,no,980,yes,yes,cellular,4,mar,1162,1,-1,1,unknown,0
36,blue-collar,married,tertiary,no,1008,yes,no,telephone,25,jun,181,1,-1,0,unknown,0
37,admin.,married,secondary,no,186,no,no,telephone,21,oct,948,3,-1,1,unknown,0
32,blue-collar,single,primary,no,1666,no,no,telephone,17,sep,41,1,-1,0,failure,0
39,services,married,tertiary,no,1780,no,no,telephone,25,jun,466,6,-1,0,unknown,0
45,blue-collar,married,secondary,no,-168,no,no,telephone,8,sep,115,7,-1,0,unknown,0
61,blue-collar,single,primary,no,555,no,no,cellular,21,feb,117,1,-1,0,unknown,0
42,unknown,divorced,secondary,no,3112,no,no,cellular,19,nov,80,1,-1,0,success,0
43,blue-collar,divorced,tertiary,no,901,yes,no,unknown,29,jan,49,2,498,1,unknown,0
40,management,divorced,secondary,no,440,no,no,cellular,14,apr,150,1,-1,0,unknown,0
19,management,single,secondary,no,238,no,no,unknown,9,may,1126,2,-1,0,success,0
40,management,married,primary,no,218,yes,no,unknown,12,oct,103,2,-1,0,unknown,0
41,services,married,secondary,no,-42,no,no,telephone,13,jul,159,4,-1,1,unknown,0
68,technician,single,secondary,no,2349,yes,no,unknown,23,aug,66,18,689,0,unknown,0
38,technician,married,primary,no,-64,yes,no,cellular,28,dec,106,2,609,0,unknown,0
44,admin.,single,primary,no,318,no,no,cellular,27,jan,14,3,-1,0,unknown,0
40,technician,single,tertiary,no,-129,yes,no,cellular,8,jun,806,1,-1,3,unknown,0
28,blue-collar,married,secondary,no,2080,yes,no,cellular,3,jan,183,4,-1,1,unknown,0
53,management,divorced,secondary,no,-139,no,no,cellular,22,aug,340,1,-1,0,failure,0
49,unemployed,married,tertiary,no,352,yes,no,cellular,28,dec,185,2,-1,0,unknown,0
49,services,married,secondary,no,1077,yes,no,unknown,15,jan,379,1,359,1,failure,0
30,services,divorced,secondary,no,590,no,no,cellular,20,apr,197,1,-1,0,unknown,0
56,entrepreneur,married,tertiary,no,297,yes,no,cellular,29,mar,311,2,-1,1,unknown,0
25,admin.,married,secondary,no,282,yes,yes,cellular,19,feb,297,1,-1,0,unknown,0
47,management,married,secondary,no,2197,yes,no,cellular,4,aug,196,2,-1,1,unknown,0
65,management,single,secondary,no,5273,yes,no,cellular,2,jun,67,1,179,0,unknown,0
30,management,single,secondary,no,441,yes,no,cellular,5,dec,61,2,-1,0,unknown,0
34,blue-collar,single,secondary,no,-140,no,no,telephone,24,apr,535,1,689,0,unknown,0
42,blue-collar,single,secondary,no,-144,yes,no,cellular,21,mar,33,4,-1,0,unknown,0
35,blue-collar,married,secondary,no,1935,yes,no,cellular,2,jun,211,2,-1,0,failure,0
23,management,single,tertiary,no,1005,no,no,cellular,7,jun,180,1,-1,0,unknown,0
41,blue-collar,divorced,primary,yes,2095,no,no,cellular,24,may,413,1,-1,0,unknown,0
29,admin.,married,secondary,no,1593,yes,no,unknown,11,mar,37,1,-1,0,failure,0
46,blue-collar,married,secondary,no,3370,yes,no,unknown,12,nov,299,2,-1,1,unknown,0
30,admin.,divorced,secondary,no,3055,no,no,telephone,4,oct,240,1,-1,0,failure,0
58,technician,single,secondary,no,2129,no,no,cellular,3,sep,311,1,109,0,unknown,1
32,admin.,divorced,secondary,no,767,no,yes,cellular,31,jun,250,2,-1,0,unknown,0
37,blue-collar,divorced,tertiary,no,352,yes,no,cellular,8,may,213,4,-1,0,failure,0
49,technician,married,tertiary,no,860,yes,no,cellular,26,nov,672,1,56,0,unknown,0
27,technician,single,tertiary,no,845,yes,yes,cellular,18,jul,110,1,740,0,unknown,0
43,unknown,married,secondary,no,1213,no,no,telephone,23,jan,52,1,74,0,failure,0
55,admin.,married,secondary,no,108,no,no,cellular,26,jul,409,2,-1,1,unknown,0
23,blue-collar,single,tertiary,no,1399,yes,no,cellular,24,jan,35,1,-1,1,unknown,0
43,technician,married,secondary,no,714,yes,no,cellular,5,sep,293,2,-1,0,unknown,0
43,services,single,tertiary,no,1252,no,no,unknown,16,jun,205,1,-1,0,unknown,0
49,retired,married,tertiary,no,210,yes,no,cellular,23,jul,0,2,-1,0,unknown,0
27,blue-collar,married,tertiary,no,654,yes,no,cellular,12,jul,70,4,-1,1,unknown,0
26,blue-collar,married,primary,no,153,no,no,cellular,9,jan,176,6,-1,0,unknown,0
46,management,married,primary,no,2922,yes,no,cellular,29,feb,103,2,356,0,failure,0
44,unknown,married,tertiary,no,804,yes,no,cellular,8,oct,143,1,-1,0,unknown,0
43,technician,married,tertiary,no,182,yes,no,cellular,5,mar,237,3,-1,1,success,0
44,student,divorced,secondary,no,-136,no,yes,cellular,20,aug,338,4,231,0,unknown,0
33,blue-collar,married,primary,no,1489,yes,no,cellular,19,sep,42,1,-1,0,failure,0
43,blue-collar,married,secondary,no,162,no,no,cellular,15,nov,85,3,-1,0,unknown,0
44,blue-collar,married,secondary,no,6646,yes,no,unknown,31,aug,261,6,-1,0,unknown,0
33,services,single,secondary,no,944,no,no,cellular,22,dec,229,3,-1,0,unknown,0
61,admin.,married,secondary,no,311,yes,no,cellular,20,jun,344,2,-1,0,unknown,1
46,blue-collar,single,secondary,no,1408,yes,no,cellular,11,feb,263,2,-1,0,success,0
27,admin.,single,tertiary,no,282,no,no,telephone,20,feb,103,1,789,0,unknown,0
48,blue-collar,married,secondary,no,2374,yes,no,cellular,13,dec,178,2,-1,0,unknown,0
30,blue-collar,married,secondary,no,352,no,no,cellular,23,oct,557,4,645,0,unknown,0
49,management,divorced,primary,no,6465,yes,no,unknown,30,jul,53,8,-1,0,unknown,0
53,blue-collar,single,tertiary,no,1193,yes,no,cellular,31,sep,121,1,-1,1,unknown,0
31,technician,single,primary,no,2590,yes,no,cellular,26,jun,475,2,575,0,unknown,0
51,services,married,secondary,no,-86,no,no,cellular,13,jan,116,1,-1,0,unknown,0
45,technician,married,tertiary,no,442,yes,no,cellular,21,sep,137,3,-1,0,unknown,1
50,unemployed,married,secondary,no,1806,no,no,unknown,17,jul,99,3,-1,0,unknown,0
61,blue-collar,married,secondary,no,1396,yes,no,cellular,29,mar,592,2,-1,0,unknown,0
38,unknown,married,secondary,no,123,yes,no,cellular,21,feb,280,3,-1,0,unknown,0
32,blue-collar,single,secondary,no,460,yes,no,unknown,29,mar,60,2,-1,0,success,0
31,management,married,secondary,no,258,yes,no,telephone,16,feb,357,3,-1,0,unknown,0
32,technician,single,unknown,no,1225,yes,no,cellular,22,nov,10,1,-1,0,unknown,0
40,management,single,secondary,no,433,no,yes,telephone,17,oct,130,3,688,0,unknown,0
44,unknown,married,secondary,no,354,yes,no,telephone,19,feb,620,2,-1,0,unknown,0
44,blue-collar,single,secondary,no,148,yes,no,telephone,22,apr,301,1,-1,0,unknown,0
50,admin.,married,secondary,no,588,no,no,cellular,14,jun,406,1,-1,0,unknown,0
41,technician,single,tertiary,no,126,yes,no,cellular,31,mar,690,4,-1,0,unknown,0
56,management,married,secondary,no,4727,yes,no,cellular,31,sep,384,1,-1,0,unknown,0
38,entrepreneur,married,tertiary,no,51,yes,no,cellular,23,may,23,1,-1,0,failure,0
70,self-employed,single,secondary,no,3468,yes,no,cellular,7,may,67,1,-1,0,unknown,0
47,admin.,married,tertiary,no,639,yes,no,cellular,23,jul,178,1,-1,0,unknown,0
31,blue-collar,divorced,tertiary,no,511,yes,yes,cellular,9,sep,3,1,-1,0,other,0
29,blue-collar,married,primary,no,194,yes,no,cellular,2,jan,252,1,-1,0,unknown,0
46,management,married,primary,no,1314,no,yes,cellular,19,sep,276,4,-1,0,unknown,0
38,housemaid,married,tertiary,no,1535,no,no,cellular,23,feb,307,7,-1,0,failure,0
48,retired,married,secondary,no,745,no,no,unknown,6,mar,209,2,-1,0,unknown,0
46,technician,married,secondary,no,-114,yes,no,unknown,30,dec,155,2,-1,1,unknown,0
40,blue-collar,single,tertiary,no,3560,yes,no,unknown,1,may,499,3,582,0,unknown,0
31,management,single,primary,no,5692,yes,no,cellular,26,oct,376,3,-1,0,unknown,0
24,unemployed,single,secondary,no,645,yes,no,telephone,7,dec,244,4,-1,0,unknown,0
36,management,divorced,secondary,no,1226,yes,no,unknown,16,apr,12,5,-1,0,failure,0
50,unknown,married,tertiary,no,697,yes,no,unknown,2,may,305,2,-1,0,unknown,0
43,technician,single,secondary,no,382,yes,no,telephone,4,oct,210,2,-1,0,unknown,0
27,admin.,married,secondary,no,-79,no,no,cellular,23,may,305,1,-1,0,unknown,0
42,admin.,single,secondary,no,713,yes,no,cellular,20,dec,96,2,-1,0,unknown,1
45,retired,married,tertiary,no,2358,no,no,unknown,22,may,387,1,-1,0,unknown,0
31,blue-collar,divorced,unknown,no,-174,no,no,unknown,14,oct,139,2,-1,0,unknown,0
42,services,single,secondary,no,1108,yes,no,unknown,29,oct,580,5,-1,0,unknown,0
41,management,divorced,secondary,no,2990,yes,no,cellular,11,oct,28,8,-1,0,unknown,1
28,technician,single,secondary,no,167,no,yes,cellular,9,may,170,1,509,0,failure,1
44,technician,divorced,secondary,no,103,no,no,cellular,5,nov,59,1,447,0,unknown,0
47,housemaid,single,tertiary,no,2019,yes,no,unknown,3,feb,155,1,672,0,failure,0
52,entrepreneur,married,tertiary,no,241,yes,no,unknown,22,nov,112,4,-1,0,unknown,0
52,admin.,married,secondary,no,119,yes,no,cellular,20,jan,419,5,-1,0,unknown,0
25,retired,married,tertiary,no,512,yes,no,telephone,25,oct,47,2,-1,0,unknown,1
30,technician,married,tertiary,no,547,no,no,cellular,2,nov,235,2,-1,0,unknown,0
46,technician,married,secondary,no,2908,yes,no,cellular,10,aug,134,3,-1,0,success,0
46,technician,married,secondary,no,1245,yes,no,cellular,21,mar,188,1,433,0,unknown,0
46,blue-collar,married,unknown,no,581,yes,no,telephone,29,dec,323,1,-1,0,unknown,0
83,technician,divorced,secondary,no,946,no,no,unknown,25,jul,113,1,78,0,unknown,0
47,management,divorced,tertiary,yes,4417,no,no,cellular,10,aug,118,1,-1,0,unknown,1
53,services,married,secondary,no,-19,no,no,cellular,7,nov,20,3,-1,0,unknown,0
51,unemployed,married,tertiary,no,149,no,no,cellular,15,dec,207,1,-1,0,unknown,0
48,technician,married,tertiary,no,4726,no,no,cellular,5,jun,139,4,-1,0,unknown,0
37,technician,married,tertiary,no,4531,yes,no,unknown,8,jun,431,1,-1,0,other,0
49,management,single,primary,no,92,yes,no,unknown,18,nov,149,2,-1,0,unknown,0
32,retired,married,primary,no,35,yes,no,cellular,20,mar,911,1,-1,0,success,0
38,admin.,married,tertiary,no,619,no,no,cellular,29,sep,48,5,-1,0,unknown,1
35,management,single,secondary,no,-123,yes,no,cellular,6,mar,80,4,-1,0,unknown,0
41,management,single,secondary,no,1395,yes,yes,cellular,23,may,128,9,815,0,unknown,0
66,admin.,married,tertiary,no,-79,yes,yes,telephone,11,jun,48,1,-1,0,unknown,0
20,blue-collar,single,tertiary,no,-110,no,no,cellular,8,jan,925,3,-1,0,unknown,0
48,management,married,secondary,yes,795,yes,no,unknown,29,nov,264,1,-1,0,unknown,0
23,unknown,married,secondary,no,4547,yes,no,cellular,4,sep,2,1,38,0,unknown,0
35,technician,married,tertiary,no,634,no,yes,unknown,25,jul,222,1,36,0,unknown,0
52,technician,married,secondary,no,461,yes,yes,cellular,7,nov,392,2,-1,0,unknown,0
41,admin.,married,secondary,no,9089,no,yes,unknown,2,dec,13,1,-1,0,failure,0
29,admin.,married,tertiary,no,938,yes,no,unknown,15,jan,222,1,-1,1,unknown,0
33,entrepreneur,single,tertiary,no,505,no,no,cellular,30,jun,120,1,-1,1,unknown,0
48,self-employed,single,secondary,no,531,no,no,cellular,9,jul,224,8,311,0,unknown,0
32,entrepreneur,married,secondary,no,125,yes,no,unknown,23,may,75,3,766,0,unknown,0
43,admin.,married,secondary,no,876,no,no,cellular,21,may,282,2,-1,0,unknown,1
41,blue-collar,single,secondary,no,666,yes,no,cellular,19,jul,287,5,-1,0,failure,0
33,services,married,tertiary,no,273,yes,yes,unknown,25,mar,200,1,188,0,unknown,0
64,services,divorced,secondary,no,62,no,yes,cellular,23,mar,664,1,-1,1,unknown,0
47,management,single,secondary,no,359,no,no,cellular,19,jan,619,2,782,0,unknown,0
18,self-employed,married,secondary,no,865,yes,yes,telephone,5,aug,12,1,-1,0,unknown,0
43,admin.,married,secondary,no,-109,yes,no,cellular,31,feb,88,1,-1,0,unknown,0
33,admin.,married,unknown,no,50,no,no,cellular,19,mar,116,5,-1,0,unknown,0
50,management,married,secondary,no,4224,yes,no,cellular,3,jul,14,1,-1,0,unknown,0
32,admin.,married,primary,no,974,no,no,telephone,12,oct,191,5,-1,1,unknown,1
39,services,single,primary,no,-101,no,no,cellular,7,oct,6,1,-1,0,unknown,0
46,technician,married,tertiary,no,1571,yes,yes,telephone,25,nov,292,5,-1,0,unknown,0
50,unemployed,married,tertiary,no,-104,yes,no,cellular,5,aug,0,2,-1,0,unknown,0
27,management,married,secondary,no,1814,yes,no,unknown,12,sep,8,2,-1,0,unknown,0
37,management,married,tertiary,no,1879,no,no,cellular,27,aug,462,1,-1,0,unknown,0
35,blue-collar,married,secondary,no,1379,no,no,unknown,4,jul,75,1,-1,1,failure,0
33,blue-collar,married,primary,no,1776,no,no,cellular,20,oct,21,2,-1,0,unknown,0
60,unknown,married,secondary,no,-61,yes,yes,cellular,19,jan,131,1,-1,0,unknown,0
45,management,single,tertiary,no,1746,no,no,cellular,13,jan,13,1,510,0,unknown,0
27,unemployed,married,secondary,no,20,yes,yes,cellular,15,nov,358,1,-1,0,unknown,0
51,management,single,primary,no,422,no,no,cellular,24,aug,175,1,-1,0,failure,0
64,management,married,secondary,no,4090,yes,no,telephone,10,jul,207,4,-1,0,unknown,0
52,management,married,tertiary,no,848,no,no,unknown,28,feb,360,4,-1,0,unknown,0
24,blue-collar,married,secondary,no,4936,no,no,cellular,1,sep,395,1,735,0,unknown,0
35,self-employed,single,secondary,no,-60,yes,no,cellular,3,oct,37,3,-1,0,unknown,0
54,retired,married,tertiary,yes,773,no,no,unknown,18,jul,84,2,-1,0,success,1
33,admin.,married,primary,no,-103,yes,no,cellular,16,sep,49,4,-1,0,unknown,0
45,management,married,secondary,no,1292,yes,yes,cellular,12,nov,14,1,-1,1,unknown,0
49,blue-collar,married,primary,no,-77,yes,no,cellular,16,jan,198,1,-1,0,unknown,0
30,blue-collar,married,tertiary,no,89,no,yes,cellular,11,nov,74,4,-1,0,unknown,0
40,blue-collar,single,primary,no,249,no,no,cellular,11,mar,43,4,-1,0,unknown,0
18,management,married,secondary,no,1871,no,no,telephone,28,oct,184,4,-1,0,failure,0
29,retired,single,secondary,no,68,no,no,cellular,23,feb,259,1,-1,0,failure,1
38,blue-collar,married,primary,no,2612,yes,yes,unknown,22,jun,381,1,684,0,unknown,1
27,admin.,single,secondary,no,12,yes,no,cellular,14,oct,4,1,-1,2,unknown,0
58,blue-collar,single,tertiary,no,-146,yes,yes,cellular,17,apr,192,5,-1,1,other,0
25,management,married,secondary,no,553,no,no,cellular,19,feb,80,1,-1,0,unknown,0
36,unknown,single,secondary,no,5626,no,no,unknown,11,feb,1232,5,-1,0,unknown,1
42,management,single,tertiary,no,-24,yes,no,cellular,4,jun,44,8,639,0,unknown,0
56,services,married,tertiary,no,-39,no,no,cellular,10,sep,148,1,-1,0,unknown,0
25,blue-collar,married,tertiary,no,1886,no,no,cellular,27,jun,904,3,-1,0,success,0
53,management,single,secondary,no,361,yes,no,cellular,23,apr,61,1,-1,0,unknown,0
41,unemployed,married,secondary,no,1694,yes,no,cellular,19,dec,424,1,-1,0,unknown,0
30,blue-collar,married,secondary,no,134,no,yes,cellular,4,sep,71,3,-1,0,unknown,0
46,management,divorced,secondary,no,724,yes,no,cellular,30,feb,20,1,-1,0,unknown,0
43,unknown,married,primary,no,262,no,no,unknown,11,jun,11,1,-1,0,unknown,1
34,technician,single,tertiary,no,700,yes,no,cellular,7,jul,766,2,298,0,unknown,0
41,admin.,single,secondary,no,1998,yes,no,unknown,20,mar,61,3,-1,0,unknown,0
36,admin.,divorced,primary,no,1953,yes,no,cellular,9,apr,89,1,-1,0,unknown,0
42,housemaid,married,secondary,no,887,no,no,cellular,28,jul,879,1,-1,0,unknown,0
48,blue-collar,married,tertiary,no,3754,yes,no,unknown,31,sep,276,1,-1,0,other,0
58,blue-collar,married,secondary,no,259,no,no,unknown,22,may,172,9,-1,0,unknown,0
27,admin.,married,tertiary,no,212,yes,no,cellular,2,nov,147,2,-1,1,unknown,0
64,management,married,secondary,no,1227,yes,no,telephone,27,feb,12,2,-1,0,unknown,0
19,blue-collar,married,secondary,no,1256,no,no,unknown,1,aug,471,1,367,0,unknown,1
39,blue-collar,married,secondary,no,-128,yes,no,cellular,8,sep,370,2,-1,0,unknown,0
47,management,married,secondary,no,1203,no,yes,cellular,27,nov,24,2,-1,0,unknown,0
44,blue-collar,single,secondary,no,503,yes,no,cellular,19,nov,112,1,-1,1,unknown,0
34,services,single,secondary,no,1864,no,no,telephone,23,feb,558,2,328,0,unknown,1
38,services,single,secondary,no,2276,no,no,telephone,16,oct,69,1,-1,0,unknown,0
35,management,divorced,tertiary,no,1004,no,no,telephone,14,oct,243,3,-1,1,unknown,1
34,management,married,secondary,no,-197,yes,no,cellular,4,jan,172,5,-1,0,other,0
50,technician,divorced,tertiary,no,1317,no,yes,unknown,19,apr,440,1,-1,0,unknown,0
44,services,single,secondary,no,1872,yes,no,cellular,30,jan,9,2,-1,0,unknown,0
33,management,married,primary,no,229,yes,no,cellular,25,jan,436,3,-1,0,unknown,0
50,admin.,married,primary,no,737,yes,no,cellular,31,may,37,5,-1,0,failure,0
44,management,married,secondary,no,4860,yes,no,unknown,22,jul,3,1,-1,0,unknown,0
49,unknown,married,tertiary,no,330,no,no,cellular,22,mar,233,5,-1,0,unknown,0
47,technician,married,secondary,no,178,no,no,cellular,6,jul,77,4,-1,1,unknown,0
31,admin.,married,primary,no,155,yes,no,unknown,15,may,318,2,-1,0,unknown,0
34,technician,single,tertiary,no,1027,no,no,unknown,13,oct,163,1,-1,0,unknown,0
49,unknown,married,secondary,no,4287,yes,no,cellular,30,nov,239,3,-1,0,unknown,0
47,technician,married,secondary,no,1207,no,no,unknown,19,aug,301,1,147,0,unknown,0
40,admin.,single,secondary,no,342,no,no,telephone,22,jul,675,1,-1,0,unknown,0
42,services,married,secondary,no,1326,no,no,cellular,4,jan,446,2,-1,0,unknown,0
55,management,divorced,tertiary,no,1270,yes,no,cellular,2,jan,176,2,-1,0,unknown,0
34,services,married,secondary,no,1162,no,no,cellular,3,jul,148,1,177,0,unknown,0
47,blue-collar,divorced,secondary,no,60,yes,yes,cellular,14,jun,274,3,-1,0,unknown,0
