SK_ID_CURR,TARGET,CODE_GENDER,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CNT_PREV_LOANS,REGION_POPULATION_RELATIVE,FLAG_DOCUMENT_3,FLAG_PHONE
100035,0,F,Secondary,Married,House/apartment,30000.0,21921.98,266.66,0.7307,0.0089,-13505,-146,-3022,0.6443,0.4932,0.9877,3,0.020491,1,1
100036,0,F,Higher education,Married,House/apartment,201011.8,631750.66,10510.7,3.1429,0.0523,-9855,-6684,-419,0.3861,0.2732,0.497,3,0.053781,1,0
100037,0,M,Secondary,Married,House/apartment,148044.04,583725.7,9724.79,3.9429,0.0657,-11315,-134,-2485,0.8737,0.6053,0.4251,3,0.013615,0,1
100038,0,F,Secondary,Married,House/apartment,256925.14,890790.59,13571.25,3.4671,0.0528,-16790,-5427,-4954,0.4125,0.2374,0.8493,4,0.009831,0,1
100039,0,F,Secondary,Married,House/apartment,175242.76,259028.33,4850.01,1.4781,0.0277,-15330,-8027,-3271,0.1901,0.9842,0.2041,4,0.048264,0,1
100040,0,F,Secondary,Married,Rented apartment,30000.0,18541.24,245.84,0.618,0.0082,-10950,-552,-3706,0.6292,0.5328,0.3989,0,0.025462,1,1
100041,0,M,Secondary,Civil marriage,With parents,90346.41,267941.01,5677.49,2.9657,0.0628,-15330,-1883,-2247,0.7132,0.7225,0.3995,0,0.003815,1,1
100042,0,F,Incomplete higher,Widow,Office apartment,56113.22,83769.53,1076.75,1.4929,0.0192,-14235,-100,-1328,0.8474,0.8574,0.3607,6,0.052737,1,1
100043,0,M,Secondary,Separated,House/apartment,300878.67,755202.22,8327.69,2.51,0.0277,-18980,-2083,-2472,0.2114,0.7801,0.7071,0,0.026,1,1
100044,0,M,Academic degree,Married,House/apartment,47965.66,245743.99,7395.34,5.1233,0.1542,-7665,-378,-4219,0.1992,0.6065,0.6744,3,0.017834,0,0
100045,0,F,Secondary,Widow,House/apartment,102578.89,360948.0,6439.68,3.5187,0.0628,-12410,-5167,-5442,0.6692,0.9535,0.39,3,0.001501,1,0
100046,0,F,Secondary,Married,Rented apartment,119227.06,113205.27,4465.82,0.9495,0.0375,-21535,-1942,-2335,0.6257,0.4133,0.2203,0,0.020704,1,0
100047,1,F,Incomplete higher,Civil marriage,House/apartment,147268.76,654676.62,11750.26,4.4455,0.0798,-10950,-2644,-4483,0.4232,0.4024,0.8225,3,0.02976,1,1
100048,0,M,Secondary,Married,House/apartment,151281.88,450069.99,8112.21,2.975,0.0536,-11315,-5314,-2774,0.5529,0.1642,0.8319,1,0.01523,1,1
100049,0,M,Secondary,Separated,House/apartment,155614.58,112513.86,1474.48,0.723,0.0095,-13505,-3560,-134,0.174,0.4035,0.7127,1,0.032827,1,1
100050,0,F,Secondary,Single,House/apartment,65863.86,294359.21,5944.19,4.4692,0.0902,-20440,-1150,-5201,0.4578,0.6635,0.7587,0,0.001767,1,1
100051,1,F,Lower secondary,Single,House/apartment,105708.65,567833.4,6464.03,5.3717,0.0611,-17155,-342,-4094,0.6562,0.7647,0.1959,3,0.003594,1,1
100052,1,M,Incomplete higher,Married,House/apartment,30000.0,138184.93,2621.29,4.6062,0.0874,-11315,-712,-5085,0.6503,0.0574,0.4161,2,0.002289,1,1
100053,0,F,Higher education,Married,Municipal apartment,112446.94,661149.36,10364.91,5.8797,0.0922,-15330,-1622,-1414,0.4138,0.7473,0.6614,1,0.015366,1,1
100054,0,M,Incomplete higher,Married,House/apartment,145958.62,199331.03,4669.33,1.3657,0.032,-14235,-2501,-1415,0.7479,0.6565,0.6147,2,0.042518,1,1
100055,0,F,Secondary,Married,House/apartment,204608.39,737640.28,20934.76,3.6051,0.1023,-17155,-537,-3821,0.5976,0.9145,0.8481,2,0.00486,1,1
100056,0,F,Secondary,Separated,House/apartment,30000.0,30240.59,423.83,1.008,0.0141,-15330,-1086,-178,0.7222,0.7431,0.8287,4,0.056462,1,0
100057,0,F,Lower secondary,Civil marriage,House/apartment,145093.69,851157.95,15676.35,5.8663,0.108,-16425,-807,-2143,0.7449,0.9739,0.6021,2,0.002463,1,1
100058,0,F,Secondary,Married,House/apartment,59485.2,100109.3,1462.49,1.6829,0.0246,-14235,-1166,-3764,0.4776,0.9638,0.2973,3,0.017623,1,1
100059,1,M,Higher education,Married,House/apartment,77580.14,440732.18,6498.37,5.681,0.0838,-20805,-732,-2522,0.3902,0.6591,0.5583,0,0.004525,1,0
100060,0,M,Secondary,Civil marriage,House/apartment,96603.14,291654.63,4924.41,3.0191,0.051,-15330,-314,-5783,0.5412,0.2984,0.5198,0,0.028428,1,1
100061,0,M,Higher education,Separated,House/apartment,30000.0,145932.16,3189.94,4.8644,0.1063,-13140,-1215,-4626,0.4166,0.7806,0.1364,1,0.006036,1,1
100062,1,M,Secondary,Single,House/apartment,41165.7,236716.3,6201.08,5.7503,0.1506,-19710,-5459,-1764,0.3109,0.175,0.5968,2,0.08482,1,1
100063,0,F,Secondary,Married,Municipal apartment,30000.0,53420.95,1438.95,1.7807,0.048,-17885,-205,-1242,0.707,0.2543,0.4554,2,0.046682,1,1
100064,1,F,Higher education,Married,House/apartment,548514.28,2000000.0,31908.4,3.6462,0.0582,-11680,-3295,-1527,0.5291,0.5711,0.2214,2,0.004418,1,1
100065,0,F,Secondary,Separated,House/apartment,31750.08,171189.54,3773.87,5.3918,0.1189,-7665,-2424,-3278,0.2503,0.067,0.3184,2,0.076221,1,1
100066,0,F,Higher education,Separated,House/apartment,150660.68,532397.35,8286.69,3.5338,0.055,-17520,-729,-2869,0.1591,0.4748,0.2727,2,0.001645,1,1
100067,1,M,Higher education,Married,With parents,30000.0,126255.44,1552.27,4.2085,0.0517,-13870,-270,-4025,0.4632,0.8477,0.1758,2,0.03678,1,1
100068,0,F,Higher education,Married,With parents,179079.67,526165.45,8767.34,2.9382,0.049,-15695,-4910,-5421,0.7385,0.5253,0.0282,1,0.00501,1,1
100069,0,F,Secondary,Married,House/apartment,311907.29,885543.21,15287.57,2.8391,0.049,-20440,-870,-5899,0.2409,0.6553,0.4303,2,0.009241,1,1
100070,0,M,Higher education,Married,House/apartment,96731.75,133180.83,1441.19,1.3768,0.0149,-11680,-1041,-3555,0.5027,0.9347,0.1884,1,0.019608,1,0
100071,0,M,Secondary,Married,House/apartment,173982.23,746265.3,14613.22,4.2893,0.084,-10950,-703,-2081,0.601,0.1968,0.5923,3,0.056706,1,1
100072,0,M,Secondary,Single,With parents,162112.79,229862.27,8793.26,1.4179,0.0542,-9855,-3438,-663,0.7774,0.7231,0.4944,3,0.005902,0,1
100073,0,M,Secondary,Widow,House/apartment,159099.66,238742.24,2729.02,1.5006,0.0172,-24455,-470,-2838,0.1451,0.4483,0.824,2,0.023841,1,1
100074,0,M,Incomplete higher,Married,House/apartment,30000.0,97951.25,2439.05,3.265,0.0813,-20440,-2603,-4719,0.3829,0.925,0.5832,0,0.01322,1,1
100075,0,F,Higher education,Married,House/apartment,254505.17,768567.3,11468.8,3.0198,0.0451,-18250,-515,-3278,0.719,0.538,0.0341,5,0.029448,1,1
100076,0,F,Higher education,Civil marriage,House/apartment,132299.78,538728.74,5887.22,4.072,0.0445,-7665,-762,-4518,0.7578,0.4391,0.4648,3,0.089716,1,0
100077,0,M,Higher education,Civil marriage,House/apartment,38603.71,130170.13,1676.96,3.372,0.0434,-9855,-4722,-4715,0.5953,0.1409,0.0349,1,0.058716,1,1
100078,0,F,Higher education,Married,Municipal apartment,86937.17,194203.62,2310.93,2.2338,0.0266,-18250,-1753,-3998,0.5166,0.1083,0.3489,2,0.008821,1,1
100079,0,M,Higher education,Married,House/apartment,193679.66,158476.62,2908.35,0.8182,0.015,-17155,-2150,-3514,0.5006,0.6744,0.5835,2,0.009012,1,1
100080,0,F,Secondary,Single,Municipal apartment,154283.47,576759.01,10107.93,3.7383,0.0655,-14600,-1795,-2203,0.848,0.992,0.7693,5,0.002137,1,0
100081,0,F,Secondary,Widow,Municipal apartment,30000.0,95668.46,3383.1,3.1889,0.1128,-10220,-358,-1605,0.8396,0.9999,0.6516,2,0.038493,1,1
100082,0,M,Incomplete higher,Single,House/apartment,137755.67,130161.93,1804.14,0.9449,0.0131,-19710,-1999,-3619,0.8267,0.3124,0.6326,1,0.005644,1,1
100083,1,F,Higher education,Single,Rented apartment,106560.64,462988.64,5967.35,4.3448,0.056,-22630,-1413,-1309,0.8176,0.0638,0.9604,2,0.011772,1,1
100084,0,F,Secondary,Civil marriage,House/apartment,159207.55,302766.77,4872.83,1.9017,0.0306,-17155,-3206,-1121,0.7627,0.403,0.2767,2,0.020727,1,0
100085,0,F,Incomplete higher,Civil marriage,House/apartment,230162.88,158520.92,1856.22,0.6887,0.0081,-12410,-8112,-5567,0.4118,0.5249,0.758,1,0.053293,1,1
100086,0,F,Higher education,Married,House/apartment,59852.36,33565.84,1052.9,0.5608,0.0176,-21535,-1782,-5459,0.5757,0.6513,0.4064,2,0.000972,1,1
100087,0,F,Higher education,Civil marriage,House/apartment,78871.59,273539.46,9017.45,3.4682,0.1143,-16060,-743,-5479,0.5856,0.3439,0.4876,2,0.015365,1,0
100088,0,M,Secondary,Married,House/apartment,135348.21,758760.57,22782.16,5.606,0.1683,-21900,-3564,-2771,0.7656,0.2469,0.4872,0,0.029497,1,1
100089,0,F,Secondary,Married,House/apartment,228581.83,1180101.32,13700.99,5.1627,0.0599,-14235,-3401,-1414,0.4419,0.8039,0.77,2,0.063736,0,1
100090,0,F,Secondary,Married,House/apartment,143921.93,152427.32,4069.94,1.0591,0.0283,-23725,-3529,-762,0.8911,0.5252,0.0348,2,0.006402,0,0
100091,0,F,Higher education,Single,House/apartment,30000.0,67512.78,2310.42,2.2504,0.077,-13870,-810,-4641,0.1511,0.9381,0.2197,0,0.006321,1,0
100092,0,F,Secondary,Married,House/apartment,706677.68,1570248.61,19355.86,2.222,0.0274,-12775,-973,-5925,0.1547,0.3159,0.4385,1,0.040925,1,1
100093,1,F,Secondary,Married,House/apartment,30000.0,155679.53,2096.68,5.1893,0.0699,-18980,-2679,-4995,0.1326,0.3345,0.981,3,0.034503,1,1
100094,0,F,Secondary,Married,House/apartment,304050.23,1490111.61,41974.67,4.9009,0.1381,-15330,-1003,-996,0.6122,0.8276,0.0155,2,0.000599,1,1
100095,0,M,Academic degree,Married,House/apartment,354144.18,2000000.0,25327.85,5.6474,0.0715,-17155,-1228,-5966,0.271,0.976,0.2861,6,0.044153,1,1
100096,0,F,Secondary,Widow,House/apartment,36259.53,121956.79,2698.43,3.3634,0.0744,-11315,-18,-5700,0.4839,0.3866,0.501,3,0.00458,0,1
100097,0,F,Higher education,Married,Municipal apartment,223910.81,129056.21,4942.53,0.5764,0.0221,-11315,-4027,-705,0.2992,0.2133,0.416,2,0.011036,1,0
100098,0,F,Secondary,Married,House/apartment,97160.59,530678.84,20017.64,5.4619,0.206,-13870,-1178,-1328,0.1608,0.2272,0.1144,2,0.006388,1,1
100099,0,F,Higher education,Single,House/apartment,81075.72,56460.66,1725.45,0.6964,0.0213,-16790,-4247,-3390,0.1448,0.7422,0.8089,3,0.036667,1,1
100100,0,F,Secondary,Married,House/apartment,30000.0,152227.09,1834.25,5.0742,0.0611,-12410,-6485,-1524,0.6278,0.6761,0.5657,3,0.06262,1,1
100101,0,F,Secondary,Separated,House/apartment,92506.0,310189.08,5895.31,3.3532,0.0637,-19710,-315,-4173,0.5108,0.0934,0.7889,1,0.020963,1,1
100102,1,F,Secondary,Married,Municipal apartment,152224.2,884643.13,17280.66,5.8114,0.1135,-14965,-162,-5485,0.7753,0.2129,0.2122,1,0.000884,1,0
100103,0,M,Secondary,Married,House/apartment,103404.9,189736.84,2338.99,1.8349,0.0226,-22265,-2016,-5812,0.2238,0.8381,0.1933,1,0.020591,1,1
100104,0,F,Higher education,Separated,Office apartment,38028.08,126240.33,1789.84,3.3197,0.0471,-11315,-535,-1115,0.7269,0.0452,0.9388,3,0.028779,1,1
100105,0,F,Secondary,Single,House/apartment,100116.79,57515.34,657.12,0.5745,0.0066,-16790,-1059,-2443,0.7134,0.0847,0.2386,4,0.031943,1,1
100106,0,M,Secondary,Married,House/apartment,309724.84,1178411.77,45690.02,3.8047,0.1475,-17520,-15,-2432,0.103,0.2492,0.9413,2,0.00482,1,1
100107,0,M,Secondary,Single,House/apartment,255394.02,222536.74,6187.06,0.8713,0.0242,-16425,-1020,-626,0.8742,0.3537,0.8722,3,0.045409,1,1
100108,0,F,Secondary,Married,House/apartment,31938.44,27450.67,321.15,0.8595,0.0101,-15330,-6463,-2101,0.4661,0.4506,0.9563,5,0.005393,1,1
100109,0,F,Incomplete higher,Single,House/apartment,100800.24,454387.37,4877.67,4.5078,0.0484,-18980,-186,-3085,0.6416,0.5917,0.8967,3,0.03035,1,0
100110,0,F,Secondary,Single,House/apartment,138883.33,210933.72,4663.9,1.5188,0.0336,-10585,-2121,-5051,0.6827,0.3362,0.9318,1,0.038826,1,0
100111,1,F,Incomplete higher,Married,Municipal apartment,113903.72,669548.33,25131.76,5.8782,0.2206,-16790,-1390,-5114,0.5041,0.3899,0.8891,2,0.031942,1,1
100112,0,F,Secondary,Single,Municipal apartment,162089.13,434393.17,17524.34,2.68,0.1081,-11680,-3456,-4931,0.158,0.6821,0.3807,1,0.0231,1,1
100113,0,M,Secondary,Married,Rented apartment,172955.14,546343.4,20945.82,3.1589,0.1211,-13140,-1924,-3641,0.2504,0.6966,0.6863,1,0.035595,0,1
100114,0,F,Secondary,Married,House/apartment,77666.06,173252.62,2425.02,2.2307,0.0312,-16425,0,-5581,0.6071,0.9597,0.1481,2,0.035873,1,1
100115,0,F,Secondary,Married,House/apartment,41546.29,84398.83,2003.69,2.0314,0.0482,-19345,-2040,-1849,0.4696,0.976,0.5138,4,0.01054,1,1
100116,1,F,Secondary,Single,House/apartment,87571.57,464861.69,9170.03,5.3084,0.1047,-9855,-3108,-2904,0.1804,0.1434,0.1196,4,0.006116,1,1
100117,0,M,Secondary,Married,House/apartment,30000.0,162371.42,3202.69,5.4124,0.1068,-22265,-2401,-1625,0.5759,0.944,0.6894,1,0.021779,1,0
100118,0,F,Secondary,Married,House/apartment,206379.3,340097.96,8128.09,1.6479,0.0394,-19710,-2398,-5893,0.4764,0.918,0.1351,1,0.026899,1,1
100119,0,F,Higher education,Married,House/apartment,224125.05,160704.54,4349.06,0.717,0.0194,-15695,-3905,-4832,0.7466,0.1798,0.8767,3,0.043517,1,1
100120,0,F,Secondary,Married,House/apartment,430306.26,871920.08,14153.5,2.0263,0.0329,-11315,-1704,-3285,0.3395,0.1377,0.0704,1,0.023515,0,1
100121,0,M,Higher education,Single,House/apartment,343861.51,1731816.72,59873.58,5.0364,0.1741,-21535,-2018,-1855,0.6981,0.7259,0.3822,5,0.024016,0,1
100122,0,F,Lower secondary,Married,House/apartment,30000.0,97161.97,1705.5,3.2387,0.0568,-17520,-1401,-508,0.7718,0.5835,0.961,2,0.001379,1,1
100123,0,M,Secondary,Married,With parents,118423.36,572945.32,10569.79,4.8381,0.0893,-17520,-5319,-2964,0.1012,0.8639,0.7535,2,0.016505,1,1
100124,0,M,Higher education,Married,House/apartment,183385.44,931975.07,20745.89,5.0821,0.1131,-12775,-2039,-4841,0.116,0.7453,0.7022,5,0.000979,0,1
100125,0,F,Incomplete higher,Married,House/apartment,264285.31,1323116.07,44234.28,5.0064,0.1674,-16425,-605,-190,0.5567,0.8991,0.6165,3,0.002768,1,1
100126,0,F,Incomplete higher,Separated,With parents,53089.51,196691.69,2759.07,3.7049,0.052,-13140,-3396,-3688,0.2046,0.5055,0.1002,2,0.042336,1,1
100127,0,F,Incomplete higher,Married,House/apartment,650584.6,935544.94,13888.63,1.438,0.0213,-20440,-751,-3080,0.5059,0.3108,0.3808,1,0.005267,1,1
100128,0,F,Secondary,Married,House/apartment,105276.65,418359.16,5402.55,3.9739,0.0513,-20440,-3606,-2541,0.5529,0.8517,0.6869,1,0.056605,0,0
100129,0,F,Secondary,Married,House/apartment,93067.07,201870.52,3239.63,2.1691,0.0348,-14965,-342,-2488,0.1259,0.177,0.0587,2,0.020184,0,0
100130,0,F,Secondary,Married,House/apartment,82216.98,386701.84,6361.79,4.7034,0.0774,-13140,-384,-2558,0.4259,0.7867,0.9746,2,0.029546,0,1
100131,0,F,Secondary,Married,House/apartment,30000.0,48775.54,1173.42,1.6259,0.0391,-18615,-1358,-4993,0.6646,0.1564,0.9702,1,0.1,1,0
100132,0,M,Higher education,Married,House/apartment,122496.4,496630.31,9434.09,4.0542,0.077,-18250,-837,-5371,0.2395,0.462,0.495,5,0.017907,1,1
100133,0,F,Higher education,Married,House/apartment,30000.0,29144.82,465.58,0.9715,0.0155,-10950,-5489,-1238,0.6931,0.5126,0.0001,4,0.041081,1,0
100134,0,F,Higher education,Married,House/apartment,278236.58,1366401.93,46663.08,4.9109,0.1677,-14235,-2283,-1255,0.6323,0.5115,0.3133,0,0.001088,1,0
100135,0,F,Secondary,Married,House/apartment,30000.0,66934.0,896.35,2.2311,0.0299,-24455,-1227,-1801,0.2327,0.7424,0.0243,0,0.012149,1,1
100136,0,F,Incomplete higher,Married,With parents,287116.87,1679485.56,18445.2,5.8495,0.0642,-15330,-6289,-5790,0.8743,0.8267,0.0469,3,0.013488,1,0
100137,1,F,Higher education,Married,House/apartment,249767.54,756870.33,8068.22,3.0303,0.0323,-16425,-5175,-1558,0.5075,0.0722,0.5769,4,0.010789,1,1
100138,0,M,Secondary,Civil marriage,House/apartment,53650.26,102711.36,1245.47,1.9145,0.0232,-17520,-451,-1909,0.1736,0.9246,0.4404,2,0.001976,1,1
100139,0,F,Incomplete higher,Married,House/apartment,30000.0,35727.12,434.28,1.1909,0.0145,-13140,-499,-2399,0.3655,0.1059,0.9659,2,0.014,1,1
100140,0,F,Higher education,Married,House/apartment,323725.53,1918941.62,53452.44,5.9277,0.1651,-18615,-2986,-5240,0.5462,0.5039,0.954,3,0.004785,1,1
100141,0,F,Secondary,Married,House/apartment,244694.24,660310.73,13875.88,2.6985,0.0567,-17155,-1033,-2381,0.2888,0.0707,0.2888,1,0.029106,0,1
100142,0,F,Higher education,Single,House/apartment,151048.2,629751.14,7988.58,4.1692,0.0529,-20075,-298,-5759,0.5768,0.9799,0.1681,3,0.000362,1,1
100143,0,F,Secondary,Married,House/apartment,30000.0,67969.8,2547.28,2.2657,0.0849,-8760,-4591,-628,0.6358,0.7545,0.1155,1,0.012127,1,1
100144,0,M,Higher education,Married,Municipal apartment,106616.99,185770.98,6204.96,1.7424,0.0582,-16790,-2462,-437,0.2396,0.1625,0.4339,1,0.018079,1,1
100145,0,M,Higher education,Married,House/apartment,407849.63,1485623.28,21226.34,3.6426,0.052,-16425,-871,-1057,0.3498,0.3421,0.7945,2,0.01846,1,1
100146,0,M,Incomplete higher,Civil marriage,House/apartment,30000.0,80293.47,1452.76,2.6764,0.0484,-9855,-8035,-4224,0.3445,0.84,0.0556,2,0.013609,0,1
100147,0,M,Secondary,Married,House/apartment,106992.0,336573.16,4599.23,3.1458,0.043,-14600,-1761,-2813,0.1418,0.2777,0.782,4,0.059896,1,1
100148,0,F,Higher education,Widow,House/apartment,244008.06,1068706.86,25155.83,4.3798,0.1031,-17155,-1320,-1225,0.8703,0.7617,0.5995,0,0.01212,1,1
100149,0,M,Secondary,Married,Office apartment,162339.51,333394.4,11174.01,2.0537,0.0688,-15695,-1351,-2494,0.4546,0.9058,0.7557,2,0.071538,1,1
100150,0,M,Secondary,Single,House/apartment,75245.17,101444.28,1211.76,1.3482,0.0161,-15330,-768,-3858,0.5617,0.6515,0.8469,1,0.025575,1,0
100151,1,M,Secondary,Married,House/apartment,333842.01,1153893.59,14360.51,3.4564,0.043,-15330,-707,-4221,0.2384,0.5518,0.2846,0,0.030025,0,1
100152,0,F,Secondary,Single,House/apartment,112324.5,127868.39,2231.32,1.1384,0.0199,-13505,-6456,-503,0.1295,0.6322,0.8356,4,0.022779,1,1
100153,0,M,Higher education,Married,With parents,304738.49,1285206.72,14705.81,4.2174,0.0483,-23725,-3750,-4812,0.5897,0.4615,0.7186,0,0.045297,1,1
100154,0,F,Secondary,Single,House/apartment,141868.5,532270.78,13289.79,3.7519,0.0937,-16790,-608,-4246,0.7081,0.055,0.414,4,0.053569,0,1
100155,0,F,Higher education,Married,House/apartment,56296.72,100708.55,1996.79,1.7889,0.0355,-16790,-4793,-1871,0.6,0.6983,0.2726,1,0.001998,1,0
100156,0,F,Secondary,Separated,Office apartment,343470.73,680605.4,16410.18,1.9816,0.0478,-10220,-156,-2650,0.5353,0.2824,0.6192,0,0.036484,1,1
100157,0,M,Secondary,Married,Municipal apartment,317613.06,484101.65,16011.14,1.5242,0.0504,-14235,-620,-5688,0.7563,0.0277,0.593,0,0.023012,1,0
100158,0,F,Incomplete higher,Single,With parents,54946.41,296939.22,4182.18,5.4042,0.0761,-13505,-4535,-166,0.4359,0.4188,0.6101,0,0.01547,1,1
100159,0,F,Secondary,Single,House/apartment,36567.83,82314.59,1236.11,2.251,0.0338,-15330,-116,-3133,0.2348,0.1876,0.3017,2,0.017773,0,1
100160,1,F,Secondary,Married,House/apartment,577987.77,2000000.0,35707.94,3.4603,0.0618,-14235,-4755,-1711,0.1696,0.2867,0.028,3,0.013007,0,0
